PartitionKey,CITY,RowKey,DISTRICT
10115,Berlin,Ackerstr.,Mitte
10115,Berlin,Am Nordbahnhof,Mitte
10115,Berlin,Am Pankepark,Mitte
10115,Berlin,An der Kieler Brücke,Mitte
10115,Berlin,Anklamer Str.,Mitte
10115,Berlin,Bergstr.,Mitte
10115,Berlin,Berliner Mauerweg,Mitte
10115,Berlin,Bernauer Str.,Mitte
10115,Berlin,Borsigstr.,Mitte
10115,Berlin,Boyenstr.,Mitte
10115,Berlin,Brunnenstr.,Mitte
10115,Berlin,Caroline-Michaelis-Str.,Mitte
10115,Berlin,Chausseestr.,Mitte
10115,Berlin,Eichendorffstr.,Mitte
10115,Berlin,Elisabeth-Schwarzhaupt-Platz,Mitte
10115,Berlin,Elisabethkirchstr.,Mitte
10115,Berlin,Gartenstr.,Mitte
10115,Berlin,Große Hamburger Str.,Mitte
10115,Berlin,Habersaathstr.,Mitte
10115,Berlin,Hannoversche Str.,Mitte
10115,Berlin,Hans-Peter-Streichplatz,Mitte
10115,Berlin,Hessische Str.,Mitte
10115,Berlin,Ida-von-Arnim-Str.,Mitte
10115,Berlin,Invalidenstr.,Mitte
10115,Berlin,Julie-Wolfthorn-Str.,Mitte
10115,Berlin,Kieler Brücke,Mitte
10115,Berlin,Kieler Str.,Mitte
10115,Berlin,Kleine Hamburger Str.,Mitte
10115,Berlin,Koppenplatz,Mitte
